//Axes
//0, 0, 0
//10, 0, 0
//10, 0, 0

//0, 0, 0
//0, 10, 0
//0, 10, 0

//0, 0, 0
//0, 0, 10
//0, 0, 10

// Cube 1
// South
0, 0, 6
0, 1, 6
1, 1, 6

0, 0, 6
1, 1, 6
1, 0, 6

// East
1, 0, 6
1, 1, 6
1, 1, 7

1, 0, 6
1, 1, 7
1, 0, 7

// North
1, 0, 7
1, 1, 7
0, 1, 7

1, 0, 7
0, 1, 7
0, 0, 7

// West
0, 0, 7
0, 1, 7
0, 1, 6

0, 0, 7
0, 1, 6
0, 0, 6

// Top
0, 1, 6
0, 1, 7
1, 1, 7

0, 1, 6
1, 1, 7
1, 1, 6

// Bottom
1, 0, 7
0, 0, 7
0, 0, 6

1, 0, 7
0, 0, 6
1, 0, 6

// Cube 2
// South
0, 0, 8
0, 1, 8
1, 1, 8

0, 0, 8
1, 1, 8
1, 0, 8

// East
1, 0, 8
1, 1, 8
1, 1, 9

1, 0, 8
1, 1, 9
1, 0, 9

// North
1, 0, 9
1, 1, 9
0, 1, 9

1, 0, 9
0, 1, 9
0, 0, 9

// West
0, 0, 9
0, 1, 9
0, 1, 8

0, 0, 9
0, 1, 8
0, 0, 8

// Top
0, 1, 8
0, 1, 9
1, 1, 9

0, 1, 8
1, 1, 9
1, 1, 8

// Bottom
1, 0, 9
0, 0, 9
0, 0, 8

1, 0, 9
0, 0, 8
1, 0, 8

// Cube 3
// South
3, 0, 6
3, 1, 6
4, 1, 6

3, 0, 6
4, 1, 6
4, 0, 6

// East
4, 0, 6
4, 1, 6
4, 1, 7

4, 0, 6
4, 1, 7
4, 0, 7

// North
4, 0, 7
4, 1, 7
3, 1, 7

4, 0, 7
3, 1, 7
3, 0, 7

// West
3, 0, 7
3, 1, 7
3, 1, 6

3, 0, 7
3, 1, 6
3, 0, 6

// Top
3, 1, 6
3, 1, 7
4, 1, 7

3, 1, 6
4, 1, 7
4, 1, 6

// Bottom
4, 0, 7
3, 0, 7
3, 0, 6

4, 0, 7
3, 0, 6
4, 0, 6

// Cube 4
// South
3, 0, 8
3, 1, 8
4, 1, 8

3, 0, 8
4, 1, 8
4, 0, 8

// East
4, 0, 8
4, 1, 8
4, 1, 9

4, 0, 8
4, 1, 9
4, 0, 9

// North
4, 0, 9
4, 1, 9
3, 1, 9

4, 0, 9
3, 1, 9
3, 0, 9

// West
3, 0, 9
3, 1, 9
3, 1, 8

3, 0, 9
3, 1, 8
3, 0, 8

// Top
3, 1, 8
3, 1, 9
4, 1, 9

3, 1, 8
4, 1, 9
4, 1, 8

// Bottom
4, 0, 9
3, 0, 9
3, 0, 8

4, 0, 9
3, 0, 8
4, 0, 8
